id_siswa,durasi_klik,waktu_modul,ulang_video,skor_kuis,login_frekuensi
S-0167,2504.09,105.93,3,51.24,5
S-0168,2627.50,77.69,3,85.90,6
S-0169,2652.41,95.36,5,64.27,3
S-0170,281308.97,-22.42,1,54.11,3
S-0171,153.71,5.00,1,34.84,1
S-0172,1171.16,64.33,1,98.79,2
S-0173,237.87,-18.76,1,45.35,1
S-0174,2350.40,81.11,5,66.57,5
S-0175,3188.83,86.19,10,71.73,5
S-0176,1581.23,43.15,2,100.00,4
S-0177,2122.47,78.63,5,40.91,5
S-0178,276.21,12.36,0,18.67,0
S-0179,2382.50,85.32,4,73.88,5
S-0180,2701.13,111.93,6,34.52,6
S-0181,1681.63,30.00,2,81.72,5
S-0182,1967718.74,127.63,5,70.26,4
S-0183,375.74,25.67,1,41.61,1
S-0184,3489.43,113.92,3,72.71,5
S-0185,2343.43,109.94,7,44.99,5
S-0186,2712.66,71.27,5,50.54,3
S-0187,2826.73,127.26,7,86.61,6
S-0188,1075.70,35.65,,89.05,3
S-0189,3268026.82,61.17,7,45.55,4
S-0190,1160.45,33.41,1,95.50,3
S-0191,284.04,22.80,0,21.66,0
S-0192,2089.65,68.19,6,71.09,5
S-0193,303234.94,10.42,0,63.88,2
S-0194,2429.13,112.14,5,78.04,5
S-0195,329886.32,11.42,1,42.96,2
S-0196,1236752.60,35.50,1,77.22,3
S-0197,2191.93,-65.23,5,71.86,7
S-0198,2816.51,131.03,9,52.11,4
S-0199,1336.74,65.76,0,94.84,4
S-0200,2813.98,91.23,4,60.20,5
S-0201,1404.23,35.07,1,73.41,5
S-0202,2756.97,116.56,7,60.33,5
S-0203,678.36,30.00,1,89.19,2
S-0204,286.86,22.77,1,34.25,1
S-0205,2506.15,112.99,6,79.44,5
S-0206,168.09,5.00,0,50.06,1
S-0207,2328.12,50.07,,40.34,5
S-0208,2706.41,103.65,4,55.70,4
S-0209,1000.00,102.40,5,67.93,4
S-0210,1425.92,45.01,3,94.09,4
S-0211,2327.89,103.33,7,67.26,7
S-0212,220.95,13.69,0,39.51,2
S-0213,2322.36,91.57,4,36.78,4
S-0214,2023.60,94.74,5,73.19,6
S-0215,1754002.48,35.45,2,100.00,5
S-0216,2907.49,120.27,7,74.92,3
S-0217,199.33,24.74,0,55.21,1
S-0218,390.62,-14.52,1,40.58,3
S-0219,1080.73,43.16,0,85.36,5
S-0220,1238.51,58.28,1,86.19,7
S-0221,351.23,-16.58,1,76.93,2
S-0222,2291922.27,102.46,8,70.09,5
S-0223,1657.28,35.74,1,84.34,3
S-0224,370.75,15.76,1,37.98,2
S-0225,2379.60,50.18,5,75.58,5
S-0226,984.39,46.73,2,79.59,5
S-0227,2688.03,68.52,8,79.57,4
S-0228,2490.33,95.11,,59.10,4
S-0229,1482059.52,39.22,,87.98,3
S-0230,262640.43,19.11,0,45.74,0
S-0231,196.00,14.70,1,62.30,2
S-0232,2503.07,73.23,3,40.17,5
S-0233,2931.15,83.65,3,83.38,6
S-0234,270.04,14.46,0,43.45,1
S-0235,3319.26,67.01,5,48.29,4
S-0236,1226.85,53.50,2,91.13,3
S-0237,266101.82,9.57,0,43.81,0
S-0238,3159.24,72.18,4,52.45,4
S-0239,153.03,22.24,,50.39,2
S-0240,329.42,19.21,1,55.97,1
S-0241,1932918.97,89.58,7,70.41,4
S-0242,2229.92,45.56,5,67.87,6
S-0243,1545.11,57.67,1,87.54,3
S-0244,295.52,12.59,0,25.07,0
S-0245,419.58,13.35,1,33.70,1
S-0246,1211.16,31.47,1,83.56,2
S-0247,2945.61,89.78,3,67.29,3
S-0248,325.69,15.33,2,55.28,0
S-0249,2319.19,87.36,3,65.99,6
S-0250,2311.90,92.82,,81.82,6
S-0251,367.93,12.15,1,41.73,2
S-0252,228.39,19.93,0,66.63,1
S-0253,459.60,13.42,1,48.09,0
S-0254,2567.08,-106.74,8,52.96,6
S-0255,828679.74,46.42,0,78.41,4
S-0256,948497.55,42.06,1,84.75,6
S-0257,313.63,16.54,0,75.17,0
S-0258,2844798.93,126.33,4,85.63,4
S-0259,1695.88,106.42,6,90.63,5
S-0260,1629.86,51.87,1,94.00,5
S-0261,2618.32,75.87,6,80.98,4
S-0262,356.18,10.47,1,55.33,0
S-0263,3409927.16,131.11,6,48.02,6
S-0264,2201965.51,87.84,7,62.22,5
S-0265,2102.40,88.50,2,64.46,6
S-0266,397.76,17.95,1,23.61,0
S-0267,2876.21,73.24,8,41.22,6
S-0268,319.55,12.45,0,44.44,1
S-0269,3118.85,99.78,6,68.26,4
S-0270,247.74,11.74,1,41.18,1
S-0271,968982.08,30.00,0,81.63,5
S-0272,2133.50,80.16,3,58.84,5
S-0273,294.94,18.19,0,34.94,1
S-0274,1212.96,47.38,1,86.27,5
S-0275,977429.20,47.96,1,85.51,4
S-0276,321.12,9.33,1,33.73,1
S-0277,386.20,15.37,0,44.63,0
S-0278,1373.08,42.89,1,88.36,3
S-0279,1932.43,80.39,5,60.56,5
S-0280,1840.78,67.77,7,71.92,6
S-0281,3118880.94,79.07,4,53.23,4
S-0282,439.15,11.16,1,48.09,1
S-0283,2354.08,51.90,4,75.56,6
S-0284,2346.14,72.83,6,100.00,4
S-0285,1442.28,41.98,2,83.77,4
S-0286,144.73,14.29,1,13.42,1
S-0287,2343254.52,75.33,6,70.65,3
S-0288,299.29,-5.31,0,10.00,1
S-0289,1059.00,33.12,2,76.74,4
S-0290,366.38,9.65,0,94.47,0
S-0291,287.61,13.28,1,33.66,1
S-0292,2369.46,89.65,7,53.68,4
S-0293,2180843.57,82.49,6,61.33,6
S-0294,291.47,18.98,0,34.60,1
S-0295,262.90,18.11,0,24.41,2
S-0296,1411.94,106.60,5,57.43,4
S-0297,2484.45,-83.34,6,63.74,3
S-0298,2387.86,109.03,4,58.90,5
S-0299,1000.00,97.96,4,60.70,7
S-0300,1397.65,45.94,1,80.57,5
S-0301,477.51,15.07,0,65.61,1
S-0302,2368.42,45.00,4,80.43,6
S-0303,1052.89,40.15,0,91.88,4
S-0304,1474.01,42.25,0,82.67,4
S-0305,1742.74,43.56,1,89.07,5
S-0306,3823.25,122.58,4,87.16,5
S-0307,1725.10,99.68,4,64.08,7
S-0308,1738.62,51.28,,95.46,5
S-0309,3068.07,100.88,5,54.17,6
S-0310,3084.21,97.60,7,75.08,6
S-0311,260.39,12.27,0,26.78,1
S-0312,268.34,22.35,1,32.87,1
S-0313,2955.90,108.93,9,64.39,6
S-0314,1598.33,51.20,1,87.69,3
S-0315,481.46,7.21,1,63.31,1
S-0316,2878.71,105.40,9,46.94,5
S-0317,344.50,9.15,0,26.23,1
S-0318,184.39,22.22,0,54.50,1
S-0319,2439.20,83.22,3,80.64,3
S-0320,2074.32,74.25,3,86.98,3
S-0321,406.67,20.45,1,30.97,2
S-0322,189442.12,14.62,1,29.06,0
S-0323,3159.33,84.25,7,83.42,5
S-0324,2863.40,84.79,5,59.86,4
S-0325,2580.83,76.50,4,50.12,6
S-0326,376776.85,16.32,1,56.98,2
S-0327,500.00,39.85,2,77.71,5
S-0328,2508.16,94.18,8,76.28,4
S-0329,2727.17,70.78,6,76.39,5
S-0330,2947.20,-54.06,6,61.61,5
S-0331,316.93,8.37,1,10.00,0
S-0332,50.00,-28.06,0,68.94,1
S-0333,2691.43,67.34,5,98.53,5
S-0334,340272.57,26.41,1,20.72,3
S-0335,2636.21,45.00,7,58.79,5
S-0336,2543.02,114.69,4,80.15,6
S-0337,320.18,12.59,1,35.56,2
S-0338,2314.71,85.67,2,38.78,6
S-0339,216.00,13.88,1,42.01,1
S-0340,156.97,15.46,1,10.00,3
S-0341,1911.44,79.19,6,57.31,6
S-0342,2781.49,73.76,3,47.59,6
S-0343,217.43,18.18,0,36.89,2
S-0344,262.65,6.28,1,12.88,0
S-0345,815.77,35.61,,90.54,5
S-0346,3081871.98,85.89,7,43.05,5
S-0347,364.63,18.41,1,44.91,0
S-0348,939.38,48.99,0,92.58,4
S-0349,2731.34,75.43,5,65.54,6
S-0350,397.85,13.12,1,61.72,0
S-0351,199.88,22.31,1,49.98,1
S-0352,245.13,22.17,0,63.29,0
S-0353,289.06,19.38,0,30.93,0
S-0354,442.77,16.44,1,28.35,1
S-0355,1485.13,40.92,1,100.00,3
S-0356,1315.21,43.76,1,99.45,3
S-0357,820.98,40.27,1,86.50,2
S-0358,3032.39,103.46,4,57.37,5
S-0359,445.37,12.16,0,68.88,0
S-0360,288.43,18.91,1,29.87,1
S-0361,218.82,15.79,0,25.24,1
S-0362,162135.28,12.66,1,10.47,0
S-0363,486.51,6.03,1,12.57,0
S-0364,3122.25,108.51,7,54.82,5
S-0365,308.63,9.50,1,28.42,3
S-0366,443.36,13.42,0,44.16,1
S-0367,435.00,18.31,2,29.83,1
S-0368,2391.84,104.38,3,47.29,5
S-0369,304.09,20.17,0,24.51,1
S-0370,2959.35,88.55,4,57.57,4
S-0371,2930.37,115.86,6,70.43,5
S-0372,230.63,6.87,0,10.00,1
S-0373,2075.91,98.94,6,84.28,6
S-0374,1476.20,54.90,4,86.95,2
S-0375,2628.08,85.22,3,72.54,6
S-0376,2523.00,106.17,5,76.73,6
S-0377,2290.35,102.36,2,62.93,6
S-0378,2484.60,117.33,6,75.77,4
S-0379,423.38,13.06,2,47.13,2
S-0380,1831.71,62.11,8,51.20,5
S-0381,1378.91,44.21,3,83.09,3
S-0382,2367.05,115.38,4,59.22,3
S-0383,1276.61,46.40,1,93.84,4
S-0384,1986.29,140.41,,41.76,5
S-0385,1276.82,50.19,0,87.26,4
S-0386,253.14,25.22,1,34.94,2
S-0387,269.64,10.16,1,56.92,2
S-0388,482.98,20.06,1,11.07,2
S-0389,937.36,44.17,2,86.50,5
S-0390,1390.67,57.80,2,98.38,4
S-0391,249924.53,12.41,1,40.64,1
S-0392,2765.06,99.04,6,87.05,5
S-0393,2003.67,95.03,8,87.92,7
S-0394,331.71,6.36,0,67.20,1
S-0395,2835.75,127.43,3,50.04,3
S-0396,2256.57,98.03,4,68.96,5
S-0397,1363.71,42.58,2,80.56,4
S-0398,900.21,55.41,0,83.15,3
S-0399,2297.73,118.58,5,43.61,5
S-0400,2435.58,106.08,6,61.21,5
S-0401,2973.00,131.05,8,44.91,6
S-0402,2628.36,76.40,5,80.34,4
S-0403,961.83,48.43,2,86.50,5
S-0404,233996.43,5.00,1,34.12,1
S-0405,1101.06,40.34,2,98.71,7
S-0406,1424.04,-66.12,1,88.30,4
S-0407,3575.31,92.73,10,90.75,5
S-0408,268.15,5.74,1,21.82,3
S-0409,198.12,16.18,1,95.89,1
S-0410,1291.68,48.99,0,89.78,7
S-0411,963880.84,42.02,0,100.00,3
S-0412,1181.73,49.65,2,94.88,5
S-0413,238.05,13.77,0,41.48,3
S-0414,3177141.71,124.99,,63.38,4
S-0415,2833.87,118.46,2,94.84,5
S-0416,2560.46,-117.84,9,57.05,6
S-0417,275.01,5.00,0,53.11,0
S-0418,2093.08,-99.70,7,77.53,4
S-0419,502.44,17.30,0,28.67,0
S-0420,403.54,29.80,0,64.10,1
S-0421,1443.69,79.90,6,81.94,6
S-0422,212.04,-6.98,1,46.31,2
S-0423,2160198.94,85.70,5,45.42,5
S-0424,2409.41,82.59,3,45.69,5
S-0425,2327.65,86.59,4,50.30,5
S-0426,3342.18,-132.89,3,88.94,5
S-0427,2289.89,92.87,5,71.77,5
S-0428,822.67,36.02,1,95.54,4
S-0429,339.62,9.39,0,50.65,1
S-0430,3546.71,60.51,4,58.41,5
S-0431,1393.34,106.10,,51.34,4
S-0432,2413.48,82.01,3,47.69,6
S-0433,2574.55,76.51,2,83.48,5
S-0434,1282.98,53.92,,95.83,6
S-0435,1536.62,92.95,4,100.00,5
S-0436,1042.03,43.10,2,95.80,4
S-0437,1699.93,31.52,2,96.41,2
S-0438,459.63,10.00,0,39.14,3
S-0439,3012.86,56.37,6,69.25,4
S-0440,3186.35,112.10,6,45.99,3
S-0441,367.47,10.73,1,13.70,1
S-0442,3093.62,98.15,,47.58,6
S-0443,1884.42,96.98,7,83.55,7
S-0444,2259447.34,117.93,7,68.71,4
S-0445,2475.25,144.22,3,57.99,4
S-0446,1387555.37,57.25,2,85.38,3
S-0447,2614.49,80.93,5,52.54,5
S-0448,339.43,11.56,1,36.99,2
S-0449,1367.24,37.57,0,100.00,4
S-0450,1660.24,98.85,,97.56,5
S-0451,3152045.96,105.72,8,52.24,6
S-0452,1237426.17,37.91,1,90.85,4
S-0453,221.54,14.10,0,49.61,0
S-0454,1643.36,30.00,0,91.43,4
S-0455,2332.77,45.00,2,21.87,5
S-0456,1427.27,128.56,5,68.80,6
S-0457,626.46,49.71,2,100.00,4
S-0458,1382.29,52.30,2,95.81,4
S-0459,2950.52,77.27,5,56.24,3
S-0460,2574734.01,107.73,7,48.10,5
S-0461,2327.57,92.33,4,60.07,5
S-0462,400.52,10.08,1,43.34,0
S-0463,1431.10,62.37,1,93.11,4
S-0464,2290.05,97.01,3,44.76,4
S-0465,2984.96,95.26,,74.50,4
S-0466,801.00,43.30,1,73.50,4
S-0467,1481.65,30.00,0,77.46,4
S-0468,2244.59,71.46,7,71.88,7
S-0469,964.37,-32.68,0,83.26,4
S-0470,2935.54,77.78,2,88.17,6
S-0471,321.29,11.23,1,46.29,1
S-0472,2747.36,103.91,3,66.52,4
S-0473,864.58,51.08,0,84.41,3
S-0474,1334.71,58.78,1,93.87,3
S-0475,2003.52,96.13,6,70.23,6
S-0476,219996.78,23.92,1,50.89,0
S-0477,3318.97,103.84,3,47.53,5
S-0478,2954.51,122.28,2,48.72,5
S-0479,1526.83,44.15,1,97.15,4
S-0480,3330.60,103.29,2,100.00,6
S-0481,1426.10,94.57,4,57.04,4
S-0482,85.23,11.55,0,31.83,1
S-0483,2568.81,76.39,5,64.20,5
S-0484,3090.08,77.66,5,65.71,4
S-0485,1475.73,53.32,1,80.60,3
S-0486,1476.24,41.68,3,85.10,6
S-0487,2200.67,106.94,6,44.96,6
S-0488,2017.31,60.34,,27.97,5
S-0489,221.73,7.87,1,52.25,2
S-0490,1384.44,30.00,2,85.02,3
S-0491,1178.58,48.55,1,96.33,5
S-0492,2397671.68,75.70,5,67.75,7
S-0493,1538.25,61.66,1,94.78,5
S-0494,963.37,34.35,0,88.10,4
S-0495,312.26,16.60,0,36.04,2
S-0496,2526.74,90.24,6,48.00,5
S-0497,1399097.45,134.92,8,50.35,4
S-0498,1076.19,48.72,1,91.03,4
S-0499,302.36,11.11,1,56.67,1
S-0500,1880.75,40.87,0,87.45,3
S-0501,392.50,19.06,0,37.06,2
S-0502,2593390.90,85.31,7,72.72,4
S-0503,2092.27,89.32,,52.48,7
S-0504,1520.79,42.67,,87.82,3
S-0505,934.24,42.60,1,92.28,5
S-0506,2504421.39,129.25,4,73.63,6
S-0507,124197.91,9.80,0,12.99,0
S-0508,360.84,11.77,1,39.27,1
S-0509,2010.65,115.97,4,62.43,4
S-0510,1312.06,51.82,2,100.00,4
S-0511,3075.20,117.81,6,65.72,5
S-0512,1263.94,46.36,1,81.89,4
S-0513,1073.70,43.82,2,88.07,4
S-0514,1325.14,47.80,1,88.74,5
S-0515,2736.13,95.10,,82.06,6
S-0516,1793.44,117.34,9,75.01,3
S-0517,167.30,8.10,0,44.41,0
S-0518,1071.63,48.99,1,93.35,4
S-0519,1872.25,91.07,5,60.73,5
S-0520,357.67,22.08,0,59.07,0
S-0521,331740.64,14.67,1,32.76,0
S-0522,2438.53,97.33,4,48.46,5
S-0523,976.45,47.12,1,94.45,5
S-0524,343.83,15.12,1,56.34,0
S-0525,310.45,15.21,1,74.17,2
S-0526,285.06,25.25,1,44.90,1
S-0527,1491.45,52.00,1,93.42,5
S-0528,2451.37,81.65,3,47.74,4
S-0529,2277.35,141.18,11,68.98,6
S-0530,3018.06,-116.12,5,74.60,4
S-0531,1791606.39,74.83,3,50.47,5
S-0532,1250.71,52.03,0,92.84,4
S-0533,1162111.77,59.43,2,84.12,3
S-0534,1604.77,30.00,1,78.40,4
S-0535,2450.44,70.68,4,77.87,5
S-0536,1120.29,56.97,1,84.92,5
S-0537,2633.56,100.52,6,83.01,6
S-0538,2405.03,119.90,3,90.38,4
S-0539,2664.97,120.49,5,69.60,5
S-0540,2652.59,73.13,8,67.14,5
S-0541,1220.76,33.97,3,82.75,4
S-0542,1493.28,53.64,0,83.97,4
S-0543,306.77,13.86,1,10.00,0
S-0544,2468.13,113.57,6,78.75,4
S-0545,1157.90,41.57,2,97.56,2
S-0546,1294.98,56.76,0,97.29,5
S-0547,378.32,14.31,0,29.96,1
S-0548,947.77,43.61,1,91.13,2
S-0549,341.43,9.76,0,53.13,1
S-0550,519.95,30.00,1,98.92,4
S-0551,309912.72,22.39,,26.69,1
S-0552,2221.26,78.96,,75.14,6
S-0553,2438.46,98.82,4,67.22,5
S-0554,2748.80,108.56,4,55.65,6
S-0555,566.46,17.82,0,26.39,1
S-0556,923.51,46.00,3,70.00,3
S-0557,2976.87,96.36,,70.81,5
S-0558,2823.20,73.19,,79.99,5
S-0559,1835.49,89.38,6,58.66,3
S-0560,396659.65,17.96,1,40.22,0
S-0561,1069.29,36.21,1,99.12,3
S-0562,2756834.96,76.20,2,65.89,3
S-0563,544459.40,15.13,1,31.42,3
S-0564,2538.46,109.93,4,62.55,4
S-0565,1113.15,35.64,0,94.28,3
S-0566,3390.55,98.14,2,74.83,4
S-0567,2653.85,106.51,3,67.97,4
S-0568,1591.56,37.63,0,99.83,3
S-0569,2886.94,99.34,2,81.31,5
S-0570,2646.68,85.20,5,87.98,4
S-0571,399.67,16.33,0,39.49,1
S-0572,2118.52,98.06,5,71.26,4
S-0573,221.34,20.55,0,66.87,1
S-0574,290.07,12.10,,32.96,1
S-0575,2863.99,-132.18,3,42.80,4
S-0576,315.98,25.90,1,16.27,1
S-0577,2609.18,74.56,,55.13,3
S-0578,2242.12,125.80,6,81.07,6
S-0579,2150.14,74.07,4,80.47,4
S-0580,556.49,58.38,2,96.39,2
S-0581,2343.16,68.94,8,77.19,3
S-0582,340.29,10.97,1,56.54,1
S-0583,966.79,-36.51,0,92.84,5
S-0584,2564.78,87.14,5,74.92,7
S-0585,2783.00,106.31,5,57.31,3
S-0586,1779.22,106.90,6,55.08,6
S-0587,1973.49,60.84,5,66.90,4
S-0588,2447.78,61.27,7,64.34,5
S-0589,3096240.55,58.41,6,60.05,5
S-0590,2737.49,95.82,5,51.72,6
S-0591,2090.76,94.44,5,78.45,3
S-0592,423.66,13.92,0,35.20,0
S-0593,281.94,13.62,2,16.69,3
S-0594,155.70,25.59,1,69.91,1
S-0595,1255.48,57.43,2,93.62,3
S-0596,851.19,35.82,0,94.90,4
S-0597,2222.77,97.98,8,76.48,6
S-0598,2454.02,67.67,4,70.74,5
S-0599,1284.76,34.22,3,70.00,4
S-0600,373.89,8.70,1,15.61,3
S-0601,268.72,9.88,1,38.55,0
S-0602,1074.27,30.09,2,95.37,5
S-0603,1025.89,-49.48,3,82.11,5
S-0604,3533.71,87.24,4,62.07,4
S-0605,3088.49,96.34,5,75.44,5
S-0606,1361.59,51.40,1,100.00,4
S-0607,962.84,42.73,1,88.54,4
S-0608,842.69,41.63,1,85.40,6
S-0609,1595.52,49.71,1,91.63,3
S-0610,3200.08,-86.03,6,43.00,4
S-0611,286728.60,12.07,1,45.28,1
S-0612,133633.12,5.49,,33.24,1
S-0613,286.10,13.80,0,26.37,1
S-0614,1441.30,58.86,2,86.95,4
S-0615,1396.21,33.66,2,92.91,5
S-0616,3148.97,106.81,2,72.07,5
S-0617,459.96,13.12,1,46.29,1
S-0618,1803.13,137.87,6,40.71,4
S-0619,3106.29,57.13,6,85.40,4
S-0620,1419.04,43.20,0,89.53,4
S-0621,1051.93,49.65,1,100.00,3
S-0622,189.29,12.65,0,36.02,1
S-0623,3169.52,95.48,7,50.04,5
S-0624,638.54,38.14,2,100.00,3
S-0625,2754.82,132.31,3,57.23,5
S-0626,2755.24,80.49,8,55.84,4
S-0627,3182.60,-67.53,3,35.08,7
S-0628,1984291.63,83.13,4,91.48,5
S-0629,469.76,15.99,1,43.81,2
S-0630,2588.12,134.65,4,67.00,5
S-0631,2476.79,95.60,6,64.91,4
S-0632,1218.41,-30.00,2,100.00,4
S-0633,258.05,19.40,0,53.72,0
S-0634,2467.92,114.30,2,82.08,7
S-0635,1382.07,43.31,1,77.60,2
S-0636,233.12,18.34,,17.79,0
S-0637,2585.81,-90.92,8,29.40,5
S-0638,3957.21,109.65,2,66.22,6
S-0639,1121.09,35.59,0,84.72,4
S-0640,1107.99,41.39,1,90.48,5
